Geneid	CO2-0-04percent_Lane1-S1_CO2-adaptation	CO2-0-04percent_Lane2-S2_CO2-adaptation	CO2-0-04percent_Lane2-S3_CO2-adaptation	CO2-0-04percent_Lane2-S4_CO2-adaptation	CO2-30percent_Lane1-S14_CO2-adaptation	CO2-30percent_Lane1-S16_CO2-adaptation	CO2-30percent_Lane2-S13_CO2-adaptation	CO2-30percent_Lane2-S15_CO2-adaptation	CO2-4percent_Lane1-S6_CO2-adaptation	CO2-4percent_Lane1-S7_CO2-adaptation	CO2-4percent_Lane2-S5_CO2-adaptation	CO2-4percent_Lane2-S8_CO2-adaptation	CO2-8percent_Lane1-S12_CO2-adaptation	CO2-8percent_Lane2-S10_CO2-adaptation	CO2-8percent_Lane2-S11_CO2-adaptation	CO2-8percent_Lane2-S9_CO2-adaptation
K00147_upstream.fna.motif.h1_1;High-covariation	2.8064068316833644	2.8064068316833644	2.8064068316833644	2.8064068316833644	2.8064068316833644	2.8064068316833644	2.8064068316833644	2.8064068316833644	2.8064068316833644	2.8064068316833644	2.8064068316833644	2.8064068316833644	2.8064068316833644	2.8064068316833644	2.8064068316833644	2.8064068316833644
K01889_upstream.fna.motif.h1_1;High-power	2.8064068316833644	2.8064068316833644	2.8064068316833644	2.8064068316833644	2.8064068316833644	2.8064068316833644	2.8064068316833644	2.8064068316833644	2.8064068316833644	2.8064068316833644	2.8064068316833644	2.8064068316833644	2.8064068316833644	2.8064068316833644	2.8064068316833644	2.8064068316833644
K02014_upstream.fna.motif.h1_4;High-covariation	2.8064068316833644	2.8064068316833644	2.8064068316833644	2.8064068316833644	2.8064068316833644	2.8064068316833644	2.8064068316833644	2.8064068316833644	2.8064068316833644	2.8064068316833644	2.8064068316833644	2.8064068316833644	2.8064068316833644	2.8064068316833644	2.8064068316833644	2.8064068316833644
K02094_upstream.fna.motif.h1_2.h1_4;High-covariation	11.948235774510547	11.838742096530046	11.228766341717991	11.469007492738005	11.56559217748998	11.747930872266707	11.521533007509928	11.585528639390876	12.418331376661982	12.482932969425097	12.742281064367157	12.387827191399822	12.986382316951179	12.472382588179658	12.51122069343831	12.846408952899834
K03320_upstream.fna.motif.h1_3;High-covariation	2.8064068316833644	2.8064068316833644	2.8064068316833644	2.8064068316833644	2.8064068316833644	2.8064068316833644	2.8064068316833644	2.8064068316833644	2.8064068316833644	2.8064068316833644	2.8064068316833644	2.8064068316833644	2.8064068316833644	2.8064068316833644	2.8064068316833644	2.8064068316833644
K03325_upstream.fna.motif.h2_1;High-power	2.8064068316833644	2.8064068316833644	2.8064068316833644	2.8064068316833644	2.8064068316833644	2.8064068316833644	2.8064068316833644	2.8064068316833644	2.8064068316833644	2.8064068316833644	2.8064068316833644	2.8064068316833644	2.8064068316833644	2.8064068316833644	2.8064068316833644	2.8064068316833644
K10716_upstream.fna.motif.h1_4;Conserved-sequence	2.8064068316833644	2.8064068316833644	2.8064068316833644	2.8064068316833644	2.8064068316833644	2.8064068316833644	2.8064068316833644	2.8064068316833644	2.8064068316833644	2.8064068316833644	2.8064068316833644	2.8064068316833644	2.8064068316833644	2.8064068316833644	2.8064068316833644	2.8064068316833644
K03665_upstream.fna.motif.h1_2.h2_1;High-power	2.8064068316833644	2.8064068316833644	2.8064068316833644	2.8064068316833644	2.8064068316833644	2.8064068316833644	2.8064068316833644	3.58776094061453	3.52269137532876	2.8064068316833644	2.8064068316833644	2.8064068316833644	2.8064068316833644	2.8064068316833644	2.8064068316833644	3.952990844228657
K21903_upstream.fna.motif.h2_1;High-covariation	2.8064068316833644	2.8064068316833644	2.8064068316833644	2.8064068316833644	3.4588064015784363	3.5352097074866133	3.863918226886455	2.8064068316833644	2.8064068316833644	2.8064068316833644	2.8064068316833644	2.8064068316833644	2.8064068316833644	2.8064068316833644	3.54627518624656	2.8064068316833644
K04485_upstream.fna.motif.h2_3;High-power	2.8064068316833644	2.8064068316833644	2.8064068316833644	3.6808904194409067	2.8064068316833644	2.8064068316833644	2.8064068316833644	2.8064068316833644	2.8064068316833644	2.8064068316833644	2.8064068316833644	2.8064068316833644	2.8064068316833644	2.8064068316833644	2.8064068316833644	2.8064068316833644
K04485_upstream.fna.motif.h1_3;High-power	2.8064068316833644	2.8064068316833644	2.8064068316833644	2.8064068316833644	2.8064068316833644	2.8064068316833644	2.8064068316833644	2.8064068316833644	2.8064068316833644	2.8064068316833644	2.8064068316833644	2.8064068316833644	2.8064068316833644	2.8064068316833644	2.8064068316833644	2.8064068316833644
K07086_upstream.fna.motif.h2_3;High-power	4.168781548308611	5.0563383435625155	4.644767824148284	5.862888525032957	2.8064068316833644	2.8064068316833644	2.8064068316833644	2.8064068316833644	2.8064068316833644	2.8064068316833644	2.8064068316833644	2.8064068316833644	2.8064068316833644	2.8064068316833644	2.8064068316833644	2.8064068316833644
K07086_upstream.fna.motif.h1_1;Conserved-sequence	2.8064068316833644	3.6719379167386212	2.8064068316833644	2.8064068316833644	2.8064068316833644	2.8064068316833644	2.8064068316833644	2.8064068316833644	2.8064068316833644	2.8064068316833644	2.8064068316833644	2.8064068316833644	2.8064068316833644	2.8064068316833644	2.8064068316833644	2.8064068316833644
K09121_upstream.fna.motif.h1_4;High-power	2.8064068316833644	2.8064068316833644	2.8064068316833644	2.8064068316833644	2.8064068316833644	2.8064068316833644	2.8064068316833644	2.8064068316833644	2.8064068316833644	2.8064068316833644	2.8064068316833644	2.8064068316833644	2.8064068316833644	2.8064068316833644	2.8064068316833644	2.8064068316833644
