Geneid	CO2-0-04percent_Lane1-S1_CO2-adaptation	CO2-0-04percent_Lane2-S2_CO2-adaptation	CO2-0-04percent_Lane2-S3_CO2-adaptation	CO2-0-04percent_Lane2-S4_CO2-adaptation	CO2-30percent_Lane1-S14_CO2-adaptation	CO2-30percent_Lane1-S16_CO2-adaptation	CO2-30percent_Lane2-S13_CO2-adaptation	CO2-30percent_Lane2-S15_CO2-adaptation	CO2-4percent_Lane1-S6_CO2-adaptation	CO2-4percent_Lane1-S7_CO2-adaptation	CO2-4percent_Lane2-S5_CO2-adaptation	CO2-4percent_Lane2-S8_CO2-adaptation	CO2-8percent_Lane1-S12_CO2-adaptation	CO2-8percent_Lane2-S10_CO2-adaptation	CO2-8percent_Lane2-S11_CO2-adaptation	CO2-8percent_Lane2-S9_CO2-adaptation
gene-SYNPCC7002_RS00245	19646	16188	17417	17485	14300	12174	11359	10372	13213	15231	8984	11423	9814	6824	8489	6915
gene-SYNPCC7002_RS00250	4701	3937	4900	4758	3218	2535	2550	2377	3722	4080	2457	2993	2629	1897	2877	1872
gene-SYNPCC7002_RS00255	1905	1776	1536	1432	6814	5437	4636	4311	3835	4671	3626	4774	4143	2544	3669	2899
gene-SYNPCC7002_RS00260	1675	1378	1536	1366	4042	3216	2884	2652	3102	3877	2921	3351	3092	1985	2914	2559
gene-SYNPCC7002_RS00265	1565	1298	1148	1032	4351	3351	3232	3021	5018	6452	4313	4444	4883	3399	4725	3638
gene-SYNPCC7002_RS00270	3374	2440	2095	2035	7934	6504	6047	5168	9335	11859	9082	9299	9970	6222	8415	7458
gene-SYNPCC7002_RS00275	147	105	132	165	233	177	154	189	157	178	98	142	142	105	147	76
gene-SYNPCC7002_RS00280	494	465	607	485	561	419	371	405	367	422	345	468	346	227	344	293
gene-SYNPCC7002_RS00285	455	451	501	466	475	362	365	332	262	418	306	414	320	191	338	239
gene-SYNPCC7002_RS00290	16387	17390	19449	20262	10653	7606	7552	7436	6716	7767	5346	7892	5928	4244	5859	4315
gene-SYNPCC7002_RS00295	3464	3364	3348	3527	5537	4359	4035	4000	4526	5603	3641	4034	4369	2908	4324	3520
gene-SYNPCC7002_RS00300	1227	1104	1282	1327	1809	1323	1329	1278	1621	2086	1152	1221	1391	1025	1362	1108
gene-SYNPCC7002_RS00305	200	84	78	76	671	510	526	447	849	985	836	859	736	459	748	643
gene-SYNPCC7002_RS00310	717	620	673	745	1088	820	862	835	670	923	517	693	707	477	611	576
gene-SYNPCC7002_RS00315	998	887	1049	951	1603	1385	1095	1025	917	1268	803	1169	1052	610	903	703
gene-SYNPCC7002_RS00320	2940	2429	2188	2295	4555	3639	3419	3183	3517	4573	2757	3768	3123	2401	3020	2258
gene-SYNPCC7002_RS00325	2176	1531	1774	1796	1128	923	897	776	1162	1686	1161	1429	1148	640	1097	827
gene-SYNPCC7002_RS00330	328	311	295	238	536	401	424	324	345	495	359	458	367	240	391	297
gene-SYNPCC7002_RS00335	1336	1099	1170	1035	1975	1780	1647	1545	1755	2836	1763	2382	1869	1413	1861	1472
gene-SYNPCC7002_RS00340	279	283	285	250	464	365	357	292	320	528	337	394	381	254	377	355
gene-SYNPCC7002_RS00345	201	124	122	128	569	388	383	447	604	888	683	695	689	395	639	507
gene-SYNPCC7002_RS00350	421	261	253	212	1119	1122	962	785	1182	1627	1057	1410	1221	749	926	899
gene-SYNPCC7002_RS00355	752	605	431	427	1839	1686	1462	1203	2064	2550	1941	2157	2027	1427	1974	1570
gene-SYNPCC7002_RS00360	140	127	117	78	374	307	310	263	289	432	328	360	329	238	365	267
gene-SYNPCC7002_RS00365	766	562	634	564	1208	1097	1041	953	1334	1739	1265	1332	1449	1018	1288	1072
